file name ----------------------------  GMUL  i-count  -- total time --   MIPS
perf.sim3.01                               9 1.18e+09  189.75s  3m09.75    6.2
perf.sim3.02                               9 1.18e+09  192.93s  3m12.93    6.1
perf.sim3.03                               9 1.18e+09  192.97s  3m12.97    6.1
perf.sim3.04                               9 1.18e+09  193.03s  3m13.03    6.1
perf.sim3.05                               9 1.18e+09  193.98s  3m13.98    6.1
perf.sim3.06                               8 1.05e+09  171.45s  2m51.45    6.1
perf.sim3.07                               9 1.18e+09  193.26s  3m13.26    6.1
perf.sim3.08                               8 1.05e+09  172.71s  2m52.71    6.1
perf.sim3.09                               8 1.05e+09  172.36s  2m52.36    6.1
perf.sim3.10                               9 1.18e+09  193.75s  3m13.75    6.1
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T981  T700 1st 31            : 10  3258.6  3440.6  3222.55  2.48%   39.51  19.20
T982  T700 1st 32            : 10  3331.4  3440.6  3322.68  0.00%   40.74  19.80
T983  T700 1st 33            : 10  3404.2  3549.9  3418.25  1.89%   41.91  20.37
T984  T700 1st 34            : 10  3584.0  3686.4  3541.13  0.50%   43.42  21.10
T985  T700 1st 35            : 10  3622.7  4223.4  3666.28  1.20%   44.95  21.85
T986  T700 1st 36            : 10  3731.9  4096.0  3737.11  0.50%   45.82  22.27
T987  T700 1st 37            : 10  3891.2  4019.2  3832.40  1.76%   46.99  22.84
T988  T700 1st 38            : 10  3914.0  4164.3  3930.53  1.58%   48.19  23.42
T989  T700 1st 39            : 10  4073.2  4198.4  4027.25  1.66%   49.38  24.00
T990  T700 1st 40            : 10  4164.3  4346.3  4162.36  1.94%   51.04  24.80
D170  MVCL (10b)             : 10       -       -   361.91  3.49%    4.44   2.16
D171  MVCL (100b)            : 10       -       -   372.83  5.24%    4.57   2.22
D172  MVCL (250b)            : 10       -       -   428.43  2.21%    5.25   2.55
D173  MVCL (1kb)             : 10       -       -   736.26  1.39%    9.03   4.39
D174  MVCL (4kb)             : 10       -       -  2038.69  4.82%   25.00  12.15
D175  MVCL (100b,pad)        : 10       -       -   322.81  3.23%    3.96   1.92
D176  MVCL (1kb,pad)         : 10       -       -   601.37  3.02%    7.37   3.58
D177  MVCL (4kb,pad)         : 10       -       -  1228.42  3.46%   15.06   7.32
D178  MVCL (1kb,over1)       : 10       -       -   131.49  4.35%    1.61   0.78
D179  MVCL (1kb,over2)       : 10       -       -   815.78  0.79%   10.00   4.86
D215  DR R,R                 : 10       -       -   141.41  3.95%    1.73   0.84
D216  D R,m                  : 10       -       -   233.97  2.27%    2.87   1.39
D280  CLCL (100b,10b)        : 10       -       -   323.00  8.46%    3.96   1.92
D281  CLCL (4kb,10b)         : 10       -       -   608.71  5.37%    7.46   3.63
D282  CLCL (4kb,100b)        : 10       -       -   803.39 17.58%    9.85   4.79
D283  CLCL (4kb,250b)        : 10       -       -  1320.56 12.18%   16.19   7.87
D290  CS R,R,m (eq,eq)       : 10       -       -   289.83  3.29%    3.55   1.73
D291  CS R,R,m (eq,ne)       : 10       -       -   289.83  3.29%    3.55   1.73
D292  CS R,R,m (ne)          : 10       -       -   215.06 15.85%    2.64   1.28
D295  CDS R,R,m (eq,eq)      : 10       -       -   305.00  0.24%    3.74   1.82
D296  CDS R,R,m (eq,ne)      : 10       -       -   305.00  2.78%    3.74   1.82
D297  CDS R,R,m (ne)         : 10       -       -   223.19 11.46%    2.74   1.33
D320  BALR R,R               : 10       -       -   216.24  1.35%    2.65   1.29
D321  BALR R,R (far)         : 10       -       -   213.55  5.13%    2.62   1.27
D322  BAL R,R                : 10       -       -   265.08  1.78%    3.25   1.58
D323  BAL R,R (far)          : 10       -       -   206.27  4.83%    2.53   1.23
D410  ED (10c)               : 10       -       -   536.19  3.01%    6.57   3.20
D411  ED (30c)               : 10       -       -   854.56  4.08%   10.48   5.09
D415  EDMK (10c)             : 10       -       -   536.19  1.24%    6.57   3.20
D426  DP m,m (10d)           : 10       -       -   923.72  4.13%   11.33   5.50
D427  DP m,m (30d)           : 10       -       -  2452.78 11.68%   30.07  14.62
D610  EX R,i (bare, via TM)  : 10       -       -   106.30 10.34%    1.30   0.63
D611  EX R,i (bare, via XI)  : 10       -       -   113.43  7.50%    1.39   0.68
D620  TS m (zero)            : 10       -       -   255.62  2.71%    3.13   1.52
D621  TS m (ones)            : 10       -       -   250.87 20.82%    3.08   1.49
