file name ----------------------------  GMUL  i-count  -- total time --   MIPS
perf.sim3.01                               9 1.18e+09  189.75s  3m09.75    6.2
perf.sim3.02                               9 1.18e+09  192.93s  3m12.93    6.1
perf.sim3.03                               9 1.18e+09  192.97s  3m12.97    6.1
perf.sim3.04                               9 1.18e+09  193.03s  3m13.03    6.1
perf.sim3.05                               9 1.18e+09  193.98s  3m13.98    6.1
perf.sim3.06                               8 1.05e+09  171.45s  2m51.45    6.1
perf.sim3.07                               9 1.18e+09  193.26s  3m13.26    6.1
perf.sim3.08                               8 1.05e+09  172.71s  2m52.71    6.1
perf.sim3.09                               8 1.05e+09  172.36s  2m52.36    6.1
perf.sim3.10                               9 1.18e+09  193.75s  3m13.75    6.1
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T212  MH R,m                 : 10   169.9   174.1   167.80  2.33%    2.06   1.00
T215  XR R,R; DR R,R         : 10   229.2   243.2   224.03  2.49%    2.75   1.34
T216  XR R,R; D R,m          : 10   314.4   331.0   316.59  1.67%    3.88   1.89
T220  SLA R,1                : 10    97.4   101.1    92.96  1.42%    1.14   0.55
T221  SLDA R,1               : 10   103.7   106.2   101.39  2.19%    1.24   0.60
T222  SRA R,1                : 10    94.6    97.8    90.94  0.54%    1.12   0.54
T223  SRDA R,1               : 10   101.1   106.0    99.45  0.40%    1.22   0.59
T224  SRA R,30               : 10    96.6    98.6    91.92  1.49%    1.13   0.55
T225  SRDA R,60              : 10   101.1   106.0    98.90  1.99%    1.21   0.59
T230  XR R,R                 : 10    81.0    84.7    82.62  0.32%    1.01   0.49
T231  X R,m                  : 10   170.2   176.1   168.58  0.35%    2.07   1.00
T232  XI m,i                 : 10   239.4   254.0   241.23  0.52%    2.96   1.44
T235  XC m,m (10c)           : 10   400.5   416.7   406.96  1.79%    4.99   2.43
T236  XC m,m (100c)          : 10   691.8   737.3   694.52  2.12%    8.52   4.14
T237  XC m,m (250c)          : 10  1206.0  1319.8  1284.46  1.32%   15.75   7.65
T238  NR R,R                 : 10    82.3    85.5    82.15  1.27%    1.01   0.49
T239  OR R,R                 : 10    80.6    84.8    82.67  1.33%    1.01   0.49
T240  SLL R,1                : 10    95.8    98.5    90.98  1.67%    1.12   0.54
T241  SLDL R,1               : 10    95.2    98.0    93.26  2.24%    1.14   0.56
T242  SRL R,1                : 10    94.1    98.5    90.36  1.30%    1.11   0.54
T243  SRDL R,1               : 10    95.7   100.4    93.81  0.50%    1.15   0.56
T244  SLL R,30               : 10    94.5    99.0    91.39  1.26%    1.12   0.54
T245  SLDL R,60              : 10    97.0   100.0    93.31  2.08%    1.14   0.56
T250  TM m,i                 : 10   159.3   163.8   159.93  2.46%    1.96   0.95
T252  TR m,m (10c)           : 10   423.9   436.9   429.59  2.81%    5.27   2.56
T253  TR m,m (100c)          : 10   640.0   711.1   650.15  2.72%    7.97   3.87
T254  TR m,m (250c)          : 10  1097.1  1137.8  1101.19  2.57%   13.50   6.56
T255  TRT m,m (10c,zero)     : 10   318.6   358.4   347.29  6.45%    4.26   2.07
T256  TRT m,m (100c,zero)    : 10   531.0   606.8   593.25 12.30%    7.27   3.54
T257  TRT m,m (250c,zero)    : 10   525.1  1575.4  1002.41 67.39%   12.29   5.97
T258  TRT m,m (250c,10b)     : 10   345.9   389.1   378.22  1.79%    4.64   2.25
T259  TRT m,m (250c,100b)    : 10   531.0   910.2   602.73 12.50%    7.39   3.59
T260  CR R,R                 : 10    81.9    89.8    82.94  1.49%    1.02   0.49
T261  C R,m                  : 10   167.2   182.9   168.78  3.47%    2.07   1.01
T262  CH R,m                 : 10   164.6   170.7   166.38  0.79%    2.04   0.99
T263  CLR R,R                : 10    80.2    82.5    81.10  0.52%    0.99   0.48
T264  CL R,m                 : 10   167.6   170.7   166.76  0.68%    2.04   0.99
T265  CLI m,i                : 10   155.6   163.8   158.57  0.92%    1.94   0.94
T266  CLM R,i,m              : 10   169.5   175.4   172.45  1.04%    2.11   1.03
T270  CLC m,m (10c,eq)       : 10   234.1   250.3   233.64  4.15%    2.86   1.39
T271  CLC m,m (10c,ne)       : 10   281.6   293.0   282.32  3.35%    3.46   1.68
T272  CLC m,m (30c,eq)       : 10   276.5   297.0   291.74  1.15%    3.58   1.74
T273  CLC m,m (30c,ne)       : 10   281.6   304.0   288.90  0.46%    3.54   1.72
T274  CLC m,m (100c,eq)      : 10   478.7   538.5   505.96  1.01%    6.20   3.02
T275  CLC m,m (100c,ne)      : 10   281.6   294.4   288.90  0.36%    3.54   1.72
T276  CLC m,m (250c,eq)      : 10   836.3   925.4   868.22  3.86%   10.65   5.17
T277  CLC m,m (250c,ne)      : 10   347.0   358.4   351.30  0.70%    4.31   2.09
T280  4*LR;CLCL (100b,10b)   : 10   616.9   697.8   649.23  4.18%    7.96   3.87
T281  4*LR;CLCL (4kb,10b)    : 10   890.0   970.9   934.94  3.49%   11.46   5.57
T282  4*LR;CLCL (4kb,100b)   : 10   938.7  1441.2  1129.62 12.50%   13.85   6.73
T283  4*LR;CLCL (4kb,250b)   : 10   930.9  2482.4  1646.79  9.77%   20.19   9.81
T290  LR;CS R,R,m (eq,eq)    : 10   360.3   390.6   371.39  2.56%    4.55   2.21
T291  LR;CS R,R,m (eq,ne)    : 10   360.3   379.3   371.39  2.56%    4.55   2.21
T292  LR;CS R,R,m (ne)       : 10   260.1   325.1   296.62 11.49%    3.64   1.77
T295  LR;CDS R,R,m (eq,eq)   : 10   386.8   392.5   386.56  0.00%    4.74   2.30
T296  LR;CDS R,R,m (eq,ne)   : 10   375.5   392.5   386.56  2.18%    4.74   2.30
T297  LR;CDS R,R,m (ne)      : 10   260.1   347.4   304.75  8.39%    3.74   1.82
T300  BCR 0,0 (noop)         : 10    82.4    86.0    83.38  1.05%    1.02   0.50
T301  BNZ l (no br)          : 10    89.2    93.1    89.75  0.76%    1.10   0.53
T302  BNZ l (do br)          : 10   178.9   184.2   179.42  0.26%    2.20   1.07
T303  BNZ l (do br, far)     : 10   178.3   184.9   179.89  2.79%    2.21   1.07
T304  BR R                   : 10    79.3    81.9    73.40  1.57%    0.90   0.44
T305  BR R (far)             : 10   161.8   174.0   160.74  0.84%    1.97   0.96
T310  BCTR R,0               : 10    84.3    87.4    85.12  1.10%    1.04   0.51
T311  BCTR R,R               : 10    80.0    81.9    81.55  1.57%    1.00   0.49
T312  BCT R,l                : 10    80.4    86.5    82.68  4.01%    1.01   0.49
T315  BXLE R,R,l             : 10    83.4    87.9    83.02  2.93%    1.02   0.49
T320  BALR R,R; BR R         : 10   277.6   295.8   289.64  0.93%    3.55   1.73
T321  BALR R,R; BR R (far)   : 10   372.7   389.6   374.29  2.91%    4.59   2.23
T322  BAL R,l; BR R          : 10   327.7   343.3   338.48  1.35%    4.15   2.02
T323  BAL R,l; BR R (far)    : 10   366.7   387.5   367.01  2.69%    4.50   2.19
T330  L;BALR;SAV(14,12);RET  : 10  2113.7  2173.2  2119.49  1.43%   25.99  12.63
T400  CVB R,m                : 10   207.5   236.7   220.01  2.26%    2.70   1.31
