Tag   Comment                : nt     min     max      cor   w50%    n-rr   n-rx    n-cp  e-cp%   mcc
T930  L R,m (ig=12)          : 20   193.5   194.4   179.61   0.3%    3.14   1.03    3.14    13%     3
T931  L R,m (ig=18)          : 20   186.5   187.1   177.23   0.3%    3.09   1.01    3.10     9%     3
T932  L R,m (ig=25)          : 20   185.8   186.6   179.32   0.3%    3.13   1.03    3.13    13%     3
T933  L R,m (ig=36)          : 20   180.1   180.7   175.62   0.3%    3.07   1.01    3.07     6%     3
T952  T700 1st  2            : 20   405.6   408.0   234.14   0.4%    4.09   1.34    4.09     9%     4
T953  T700 1st  3            : 20   577.1   582.3   405.74   0.4%    7.08   2.32    7.09     8%     7
T954  T700 1st  4            : 20   631.8   635.2   460.54   0.4%    8.04   2.64    8.04     4%     8
T955  T700 1st  5            : 20   687.5   691.9   516.23   0.4%    9.01   2.95    9.02     1%     9
T956  T700 1st  6            : 20   750.2   754.7   578.75   0.1%   10.11   3.31   10.11    10%    10
T957  T700 1st  7            : 20   865.8   870.5   694.69   0.5%   12.13   3.98   12.14    13%    12
T958  T700 1st  8            : 20   978.6   984.6   807.39   0.5%   14.10   4.62   14.10    10%    14
T959  T700 1st  9            : 20  1087.7  1093.9   916.51   0.1%   16.00   5.25   16.01     1%    16
T960  T700 1st 10            : 20  1154.3  1160.4   983.25   0.4%   17.17   5.63   17.18    17%    17
T961  T700 1st 11            : 20  1200.5  1208.2  1028.97   0.1%   17.97   5.89   17.97    -2%    18
T962  T700 1st 12            : 20  1257.7  1265.9  1086.90   0.5%   18.98   6.22   18.99    -1%    19
T963  T700 1st 13            : 20  1429.3  1436.7  1258.65   0.5%   21.98   7.20   21.99    -1%    22
T964  T700 1st 14            : 20  1429.3  1446.4  1257.61   0.1%   21.96   7.20   21.97    -3%    22
T965  T700 1st 15            : 20  1607.7  1618.7  1437.34   0.4%   25.10   8.23   25.11    10%    25
T966  T700 1st 16            : 20  1666.7  1676.8  1495.04   0.1%   26.10   8.56   26.12    11%    26
T967  T700 1st 17            : 20  1715.0  1724.5  1544.46   0.5%   26.97   8.84   26.98    -2%    27
T968  T700 1st 18            : 20  1885.5  1898.1  1715.33   0.5%   29.95   9.82   29.96    -3%    30
T969  T700 1st 19            : 20  2000.7  2012.4  1830.10   0.1%   31.95  10.48   31.97    -3%    32
T970  T700 1st 20            : 20  2059.7  2071.3  1888.98   0.5%   32.98  10.81   33.00     0%    33
