s370_perf_ana  -raw

file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-03-30-20:24:45_J6018_PERF-ASM.prt   198 2.62e+10  278.38s  4m38.38   94.1
2018-03-30-20:29:24_J6019_PERF-ASM.prt   194 2.57e+10  272.30s  4m32.30   94.2
2018-03-30-20:34:10_J6020_PERF-ASM.prt   197 2.61e+10  276.93s  4m36.93   94.1
2018-03-30-20:38:56_J6021_PERF-ASM.prt   198 2.62e+10  277.92s  4m37.92   94.2
2018-03-30-20:43:38_J6022_PERF-ASM.prt   196 2.59e+10  275.33s  4m35.33   94.1
2018-03-30-20:48:18_J6023_PERF-ASM.prt   194 2.57e+10  272.55s  4m32.55   94.1
2018-03-30-20:53:03_J6024_PERF-ASM.prt   197 2.61e+10  276.96s  4m36.96   94.1
2018-03-30-20:57:49_J6025_PERF-ASM.prt   197 2.61e+10  276.73s  4m36.73   94.1
2018-03-30-21:02:32_J6026_PERF-ASM.prt   197 2.61e+10  276.58s  4m36.58   94.2
2018-03-30-21:07:15_J6027_PERF-ASM.prt   197 2.61e+10  276.78s  4m36.78   94.1
2018-03-30-21:12:00_J6028_PERF-ASM.prt   198 2.62e+10  278.09s  4m38.09   94.2
2018-03-30-21:16:45_J6029_PERF-ASM.prt   197 2.61e+10  276.67s  4m36.67   94.2
2018-03-30-21:21:23_J6030_PERF-ASM.prt   193 2.55e+10  271.13s  4m31.13   94.1
2018-03-30-21:26:07_J6031_PERF-ASM.prt   196 2.59e+10  275.50s  4m35.50   94.1
2018-03-30-21:30:52_J6032_PERF-ASM.prt   197 2.61e+10  276.80s  4m36.80   94.1
2018-03-30-21:35:37_J6033_PERF-ASM.prt   197 2.61e+10  276.93s  4m36.93   94.1
2018-03-30-21:40:17_J6034_PERF-ASM.prt   194 2.57e+10  272.60s  4m32.60   94.1
2018-03-30-21:45:01_J6035_PERF-ASM.prt   196 2.59e+10  275.15s  4m35.15   94.2
2018-03-30-21:49:41_J6036_PERF-ASM.prt   194 2.57e+10  272.55s  4m32.55   94.1
2018-03-30-21:54:26_J6037_PERF-ASM.prt   197 2.61e+10  276.48s  4m36.48   94.2
2018-03-30-21:59:11_J6038_PERF-ASM.prt   198 2.62e+10  278.22s  4m38.22   94.1
2018-03-30-22:03:56_J6039_PERF-ASM.prt   197 2.61e+10  276.74s  4m36.74   94.1
2018-03-30-22:08:38_J6040_PERF-ASM.prt   197 2.61e+10  276.79s  4m36.79   94.1
2018-03-30-22:13:24_J6041_PERF-ASM.prt   197 2.61e+10  277.16s  4m37.16   94.0
2018-03-30-22:18:03_J6042_PERF-ASM.prt   194 2.57e+10  272.66s  4m32.66   94.1
2018-03-30-22:22:43_J6043_PERF-ASM.prt   193 2.55e+10  271.15s  4m31.15   94.1
2018-03-30-22:27:26_J6044_PERF-ASM.prt   195 2.58e+10  274.01s  4m34.01   94.1
2018-03-30-22:32:12_J6045_PERF-ASM.prt   197 2.61e+10  276.84s  4m36.84   94.1
2018-03-30-22:36:57_J6046_PERF-ASM.prt   197 2.61e+10  277.01s  4m37.01   94.1
2018-03-30-22:41:33_J6047_PERF-ASM.prt   191 2.53e+10  268.51s  4m28.51   94.1
2018-03-30-22:46:16_J6048_PERF-ASM.prt   197 2.61e+10  276.63s  4m36.63   94.2
2018-03-30-22:50:54_J6049_PERF-ASM.prt   194 2.57e+10  272.49s  4m32.49   94.2
