s370_perf_ana  -raw

file name ----------------------------  GMUL  i-count  -- total time --   MIPS
T965  T700 1st 15            : 92   50000   1  1      63.47  0.82%
T966  T700 1st 16            : 92   45000   1  1      78.67  0.77%
T967  T700 1st 17            : 92   45000   1  1      77.83  1.09%
T968  T700 1st 18            : 92   40000   1  1      91.69  1.04%
T969  T700 1st 19            : 92   40000   1  1      95.09  1.21%
T970  T700 1st 20            : 92   40000   1  1      92.74  1.65%
T971  T700 1st 21            : 92   35000   1  1      94.71  1.28%
T972  T700 1st 22            : 92   35000   1  1     106.45  1.07%
T973  T700 1st 23            : 92   35000   1  1     111.15  0.86%
T974  T700 1st 24            : 92   30000   1  1     112.78  0.94%
T975  T700 1st 25            : 92   30000   1  1     112.30  1.28%
T976  T700 1st 26            : 92   30000   1  1     120.69  0.98%
T977  T700 1st 27            : 92   30000   1  1     121.87  0.98%
T978  T700 1st 28            : 92   30000   1  1     146.24  0.81%
T979  T700 1st 29            : 92   25000   1  1     138.52  0.78%
T980  T700 1st 30            : 92   25000   1  1     145.19  0.92%
T981  T700 1st 31            : 92   25000   1  1     139.25  0.99%
T982  T700 1st 32            : 92   25000   1  1     160.82  0.92%
T983  T700 1st 33            : 92   25000   1  1     153.04  0.90%
T984  T700 1st 34            : 92   25000   1  1     189.18  1.01%
T985  T700 1st 35            : 92   25000   1  1     161.15  0.96%
T986  T700 1st 36            : 92   20000   1  1     200.40  1.12%
T987  T700 1st 37            : 92   20000   1  1     182.43  1.16%
T988  T700 1st 38            : 92   20000   1  1     211.02  1.01%
T989  T700 1st 39            : 92   20000   1  1     202.47  0.82%
T990  T700 1st 40            : 92   20000   1  1     232.42  0.90%
