file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-06-23-14:08:30_J0001_PERF-ASM.prt   129 1.71e+10  293.51s  4m53.51   58.1
2018-06-23-14:13:45_J0002_PERF-ASM.prt   135 1.79e+10  306.53s  5m06.53   58.2
2018-06-23-14:19:01_J0003_PERF-ASM.prt   136 1.80e+10  307.91s  5m07.91   58.4
2018-06-23-14:24:07_J0004_PERF-ASM.prt   132 1.75e+10  298.50s  4m58.50   58.5
2018-06-23-14:29:19_J0005_PERF-ASM.prt   135 1.79e+10  304.68s  5m04.68   58.6
2018-06-23-14:34:25_J0006_PERF-ASM.prt   132 1.75e+10  298.46s  4m58.46   58.5
2018-06-23-14:39:28_J0007_PERF-ASM.prt   130 1.72e+10  295.40s  4m55.40   58.2
2018-06-23-14:44:39_J0008_PERF-ASM.prt   134 1.77e+10  302.84s  5m02.84   58.5
2018-06-23-14:49:50_J0009_PERF-ASM.prt   134 1.77e+10  303.72s  5m03.72   58.3
2018-06-23-14:55:01_J0010_PERF-ASM.prt   134 1.77e+10  303.99s  5m03.99   58.3
2018-06-23-15:00:09_J0011_PERF-ASM.prt   133 1.76e+10  300.58s  5m00.58   58.5
2018-06-23-15:05:27_J0012_PERF-ASM.prt   137 1.81e+10  309.29s  5m09.29   58.6
2018-06-23-15:10:34_J0013_PERF-ASM.prt   132 1.75e+10  299.53s  4m59.53   58.3
2018-06-23-15:15:38_J0014_PERF-ASM.prt   131 1.73e+10  296.26s  4m56.26   58.5
2018-06-23-15:20:51_J0015_PERF-ASM.prt   135 1.79e+10  304.77s  5m04.77   58.6
2018-06-23-15:26:04_J0016_PERF-ASM.prt   135 1.79e+10  304.67s  5m04.67   58.6
2018-06-23-15:31:12_J0017_PERF-ASM.prt   133 1.76e+10  301.19s  5m01.19   58.4
2018-06-23-15:36:15_J0018_PERF-ASM.prt   130 1.72e+10  294.54s  4m54.54   58.4
2018-06-23-15:41:28_J0019_PERF-ASM.prt   135 1.79e+10  304.96s  5m04.96   58.5
2018-06-23-15:46:38_J0020_PERF-ASM.prt   134 1.77e+10  302.42s  5m02.42   58.6
s370_perf version: s370_perf V0.9.8  rev 1026  2018-05-27

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T176  4*Lx;MVCL (1kb,pad)    : 20    64.5    71.9    64.85  2.14%   19.50   5.77
T177  4*Lx;MVCL (4kb,pad)    : 20   151.1   171.9   153.81  2.13%   46.26  13.69
T178  4*LA;MVCL (1kb,over1)  : 20    42.1    44.1    42.46  1.53%   12.77   3.78
T179  4*LA;MVCL (1kb,over2)  : 20   213.5   225.7   216.70  1.72%   65.17  19.29
T190  IC R,m                 : 20    14.4    15.7    14.68  2.20%    4.42   1.31
T191  ICM R,i,m (0010)       : 20    21.6    22.7    21.82  1.39%    6.56   1.94
T192  ICM R,i,m (1100)       : 20    22.4    23.2    22.73  2.07%    6.84   2.02
T193  ICM R,i,m (0111)       : 20    17.0    17.7    17.20  2.02%    5.17   1.53
T200  AR R,R                 : 20     4.6     4.7     4.54  1.95%    1.37   0.40
T201  A R,m                  : 20    15.0    15.8    15.16  1.76%    4.56   1.35
T202  AH R,m                 : 20    15.0    15.7    15.12  1.42%    4.55   1.35
T203  ALR R,R                : 20     4.1     4.7     4.13  2.02%    1.24   0.37
T204  AL R,m                 : 20    14.8    15.4    14.98  1.88%    4.50   1.33
T205  SR R,R                 : 20     5.8     6.3     5.80  1.92%    1.74   0.52
T206  S R,m                  : 20    14.6    15.3    14.82  1.27%    4.46   1.32
T207  SH R,m                 : 20    14.7    15.8    15.03  1.95%    4.52   1.34
T208  SLR R,R                : 20     4.5     4.7     4.50  1.88%    1.35   0.40
T209  SL R,m                 : 20    14.7    15.3    14.80  1.11%    4.45   1.32
T210  MR R,R                 : 20     6.2     6.5     5.94  2.16%    1.79   0.53
T211  M R,m                  : 20    15.8    17.2    15.79  2.21%    4.75   1.41
T212  MH R,m                 : 20    15.3    16.7    15.10  2.11%    4.54   1.34
T215  XR R,R; DR R,R         : 20    24.5    25.6    24.43  1.86%    7.35   2.18
T216  XR R,R; D R,m          : 20    33.0    36.8    33.07  1.95%    9.94   2.94
T220  SLA R,1                : 20     8.8     9.2     8.57  1.02%    2.58   0.76
T221  SLDA R,1               : 20    10.5    10.9    10.42  1.81%    3.13   0.93
T222  SRA R,1                : 20     6.8     7.9     6.64  2.83%    2.00   0.59
T223  SRDA R,1               : 20     8.5     8.9     8.34  2.13%    2.51   0.74
T224  SRA R,30               : 20     6.9     7.5     6.58  1.55%    1.98   0.59
T225  SRDA R,60              : 20     8.4     8.8     8.28  0.89%    2.49   0.74
T230  XR R,R                 : 20     4.4     4.6     4.45  2.05%    1.34   0.40
T231  X R,m                  : 20    14.3    15.1    14.48  1.65%    4.35   1.29
T232  XI m,i                 : 20    15.7    17.2    15.88  2.18%    4.78   1.41
T235  XC m,m (10c)           : 20    34.6    38.0    35.06  2.17%   10.54   3.12
T236  XC m,m (100c)          : 20   171.2   180.5   175.22  1.08%   52.69  15.60
T237  XC m,m (250c)          : 20   390.5   410.1   399.84  2.01%  120.24  35.59
T238  NR R,R                 : 20     4.5     4.6     4.42  1.47%    1.33   0.39
T239  OR R,R                 : 20     4.4     4.6     4.41  1.25%    1.33   0.39
T240  SLL R,1                : 20     6.1     6.4     5.83  2.36%    1.75   0.52
T241  SLDL R,1               : 20     8.2     8.6     8.15  1.85%    2.45   0.73
T242  SRL R,1                : 20     6.1     6.8     5.86  1.91%    1.76   0.52
T243  SRDL R,1               : 20     8.2    10.6     8.14  0.87%    2.45   0.72
T244  SLL R,30               : 20     6.1     7.3     5.89  1.92%    1.77   0.52
T245  SLDL R,60              : 20     8.2    10.2     8.11  2.41%    2.44   0.72
T250  TM m,i                 : 20    13.5    15.2    13.66  1.99%    4.11   1.22
T252  TR m,m (10c)           : 20    27.2    31.2    27.75  1.58%    8.35   2.47
T253  TR m,m (100c)          : 20   129.2   153.6   131.79  3.21%   39.63  11.73
T254  TR m,m (250c)          : 20   291.9   314.5   298.33  2.85%   89.72  26.56
T255  TRT m,m (10c,zero)     : 20   124.7   141.3   127.14  1.29%   38.24  11.32
T256  TRT m,m (100c,zero)    : 20  1141.8  1187.8  1166.41  1.89%  350.77 103.83
T257  TRT m,m (250c,zero)    : 20  2819.7  2938.0  2882.67  1.84%  866.91 256.61
T258  TRT m,m (250c,10b)     : 20   138.2   143.6   140.18  1.36%   42.16  12.48
T259  TRT m,m (250c,100b)    : 20  1159.7  1207.3  1185.88  1.50%  356.63 105.57
T260  CR R,R                 : 20     4.2     4.3     4.17  1.17%    1.25   0.37
T261  C R,m                  : 20    14.3    15.0    14.48  1.19%    4.35   1.29
T262  CH R,m                 : 20    15.1    16.5    15.20  0.97%    4.57   1.35
T263  CLR R,R                : 20     3.9     4.1     3.93  1.08%    1.18   0.35
T264  CL R,m                 : 20    12.8    13.5    12.90  1.15%    3.88   1.15
T265  CLI m,i                : 20    15.3    15.8    15.37  0.81%    4.62   1.37
T266  CLM R,i,m              : 20    17.9    19.6    18.08  1.55%    5.44   1.61
T270  CLC m,m (10c,eq)       : 20    45.1    46.9    45.43  1.59%   13.66   4.04
T271  CLC m,m (10c,ne)       : 20    37.8    39.2    38.18  2.13%   11.48   3.40
T272  CLC m,m (30c,eq)       : 20    59.9    62.3    60.99  2.46%   18.34   5.43
T273  CLC m,m (30c,ne)       : 20    37.7    41.6    38.13  1.78%   11.47   3.39
T274  CLC m,m (100c,eq)      : 20   111.2   121.3   113.46  1.87%   34.12  10.10
T275  CLC m,m (100c,ne)      : 20    37.5    39.5    37.92  1.75%   11.40   3.38
T276  CLC m,m (250c,eq)      : 20   220.9   230.2   224.05  1.68%   67.38  19.94
T277  CLC m,m (250c,ne)      : 20    37.7    41.9    37.77  1.03%   11.36   3.36
T280  4*LR;CLCL (100b,10b)   : 20   178.7   185.8   181.45  0.93%   54.57  16.15
T281  4*LR;CLCL (4kb,10b)    : 20   181.7   190.3   184.18  1.60%   55.39  16.40
T282  4*LR;CLCL (4kb,100b)   : 20  1475.9  1545.7  1504.14  1.25%  452.34 133.90
T283  4*LR;CLCL (4kb,250b)   : 20  3612.0  3796.4  3683.82  1.93% 1107.84 327.93
T290  LR;CS R,R,m (eq,eq)    : 20    51.8    56.4    52.38  1.74%   15.75   4.66
T291  LR;CS R,R,m (eq,ne)    : 20    52.2    54.4    53.05  1.35%   15.95   4.72
T292  LR;CS R,R,m (ne)       : 20  1854.5  1910.0  1871.15  1.07%  562.71 166.57
T295  LR;CDS R,R,m (eq,eq)   : 20    52.9    68.0    53.87  1.82%   16.20   4.80
T296  LR;CDS R,R,m (eq,ne)   : 20    52.8    60.3    53.95  1.83%   16.22   4.80
T297  LR;CDS R,R,m (ne)      : 20  1831.8  1882.1  1854.67  0.91%  557.75 165.10
T300  BCR 0,0 (noop)         : 20     3.6     3.8     3.54  1.53%    1.07   0.32
T301  BNZ l (no br)          : 20     3.6     3.7     3.58  1.71%    1.08   0.32
T302  BNZ l (do br)          : 20    10.2    10.7    10.35  2.74%    3.11   0.92
T303  BNZ l (do br, far)     : 20    19.7    20.8    20.26  1.24%    6.09   1.80
T304  BR R                   : 20     9.4    10.3     8.62  1.64%    2.59   0.77
T305  BR R (far)             : 20    18.1    20.1    17.56  2.08%    5.28   1.56
T310  BCTR R,0               : 20     4.5     5.0     4.56  1.27%    1.37   0.41
T311  BCTR R,R               : 20     8.9     9.3     9.13  1.93%    2.74   0.81
T312  BCT R,l                : 20    11.3    11.8    11.53  1.10%    3.47   1.03
T315  BXLE R,R,l             : 20    11.6    12.0    11.64  1.51%    3.50   1.04
T320  BALR R,R; BR R         : 20    16.7    17.7    16.98  2.03%    5.11   1.51
T321  BALR R,R; BR R (far)   : 20    59.4    65.4    60.93  1.48%   18.32   5.42
T322  BAL R,l; BR R          : 20    18.9    19.8    19.27  1.76%    5.80   1.72
T323  BAL R,l; BR R (far)    : 20    42.5    44.3    42.97  1.96%   12.92   3.83
T324  BASR R,R; BR R         : 20    17.0    17.7    17.23  0.97%    5.18   1.53
T325  BAS R,l; BR R          : 20    19.0    19.9    19.10  2.21%    5.74   1.70
T330  L;BALR;SAV(14,12);RET  : 20   157.7   167.6   161.03  1.61%   48.43  14.34
T400  CVB R,m                : 20    63.4    71.0    65.20  2.05%   19.61   5.80
T401  CVD R,m                : 20    68.0    70.6    68.93  0.87%   20.73   6.14
T402  PACK m,m (5d)          : 20    59.2    62.4    60.04  1.50%   18.06   5.34
T403  PACK m,m (15d)         : 20   148.2   158.4   151.46  2.06%   45.55  13.48
T404  UNPK m,m (5d)          : 20    66.8    69.7    67.88  1.75%   20.41   6.04
T405  UNPK m,m (15d)         : 20   159.4   165.2   162.65  1.40%   48.91  14.48
T410  MVC;ED (10c)           : 20   237.4   247.7   241.65  0.88%   72.67  21.51
T411  MVC;ED (30c)           : 20   668.9   695.1   681.84  1.80%  205.05  60.70
T415  MVC;EDMK (10c)         : 20   241.9   249.1   245.33  1.50%   73.78  21.84
T420  AP m,m (10d)           : 20   449.8   486.3   454.00  1.10%  136.53  40.41
T421  AP m,m (30d)           : 20   514.2   534.1   521.14  1.28%  156.72  46.39
T422  SP m,m (10d)           : 20   458.4   472.3   463.88  1.64%  139.50  41.29
T423  SP m,m (30d)           : 20   527.8   544.4   533.80  1.17%  160.53  47.52
T424  MP m,m (10d)           : 20   509.5   544.7   515.84  0.94%  155.13  45.92
T425  MP m,m (30d)           : 20   511.0   554.5   517.87  1.56%  155.74  46.10
T426  MVC;DP m,m (10d)       : 20   749.9   826.6   768.08  2.40%  230.99  68.37
T427  MVC;DP m,m (30d)       : 20  1815.9  1978.4  1855.15  1.89%  557.90 165.14
T430  CP m,m (10d)           : 20   332.0   345.0   339.25  1.01%  102.02  30.20
T431  CP m,m (30d)           : 20   332.1   351.4   339.77  1.81%  102.18  30.25
T440  ZAP m,m (10d,10d)      : 20   207.7   215.4   211.61  0.92%   63.64  18.84
