file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-04-29-07:57:47_J0161_PERF-ASM.prt   224 2.96e+10  283.67s  4m43.67  104.4
2018-04-29-08:02:39_J0162_PERF-ASM.prt   221 2.92e+10  288.31s  4m48.31  101.4
2018-04-29-08:07:21_J0163_PERF-ASM.prt   204 2.70e+10  276.96s  4m36.96   97.4
2018-04-29-08:11:52_J0164_PERF-ASM.prt   212 2.80e+10  267.78s  4m27.78  104.7
2018-04-29-08:16:50_J0165_PERF-ASM.prt   223 2.95e+10  293.73s  4m53.73  100.4
2018-04-29-08:21:09_J0166_PERF-ASM.prt   195 2.58e+10  254.69s  4m14.69  101.3
2018-04-29-08:26:01_J0167_PERF-ASM.prt   218 2.88e+10  287.84s  4m47.84  100.2
2018-04-29-08:30:45_J0168_PERF-ASM.prt   221 2.92e+10  279.95s  4m39.95  104.4
2018-04-29-08:35:27_J0169_PERF-ASM.prt   216 2.86e+10  278.57s  4m38.57  102.5
2018-04-29-08:39:49_J0170_PERF-ASM.prt   201 2.66e+10  257.41s  4m17.41  103.3
2018-04-29-08:45:07_J0171_PERF-ASM.prt   227 3.00e+10  314.54s  5m14.54   95.4
2018-04-29-08:49:55_J0172_PERF-ASM.prt   211 2.79e+10  283.17s  4m43.17   98.5
2018-04-29-08:54:28_J0173_PERF-ASM.prt   211 2.79e+10  269.72s  4m29.72  103.5
2018-04-29-08:59:45_J0174_PERF-ASM.prt   228 3.02e+10  312.87s  5m12.87   96.4
2018-04-29-09:04:29_J0175_PERF-ASM.prt   214 2.83e+10  279.71s  4m39.71  101.2
2018-04-29-09:08:54_J0176_PERF-ASM.prt   203 2.68e+10  260.20s  4m20.20  103.2
2018-04-29-09:13:48_J0177_PERF-ASM.prt   227 3.00e+10  290.16s  4m50.16  103.5
2018-04-29-09:18:54_J0178_PERF-ASM.prt   230 3.04e+10  302.07s  5m02.07  100.7
2018-04-29-09:23:22_J0179_PERF-ASM.prt   198 2.62e+10  263.97s  4m23.97   99.2
2018-04-29-09:27:42_J0180_PERF-ASM.prt   197 2.61e+10  256.04s  4m16.04  101.8
2018-04-29-09:32:36_J0181_PERF-ASM.prt   222 2.94e+10  290.26s  4m50.26  101.1
2018-04-29-09:37:32_J0182_PERF-ASM.prt   210 2.78e+10  291.20s  4m51.20   95.4
2018-04-29-09:42:18_J0183_PERF-ASM.prt   206 2.72e+10  281.66s  4m41.66   96.7
2018-04-29-09:47:13_J0184_PERF-ASM.prt   219 2.90e+10  290.79s  4m50.79   99.6
2018-04-29-09:51:53_J0185_PERF-ASM.prt   201 2.66e+10  275.89s  4m35.89   96.4
2018-04-29-09:56:06_J0186_PERF-ASM.prt   195 2.58e+10  249.32s  4m09.32  103.4
2018-04-29-10:00:58_J0187_PERF-ASM.prt   226 2.99e+10  287.53s  4m47.53  103.9
2018-04-29-10:05:56_J0188_PERF-ASM.prt   228 3.02e+10  294.37s  4m54.37  102.4
2018-04-29-10:10:27_J0189_PERF-ASM.prt   194 2.57e+10  266.32s  4m26.32   96.3
2018-04-29-10:15:10_J0190_PERF-ASM.prt   202 2.67e+10  278.80s  4m38.80   95.8
2018-04-29-10:19:54_J0191_PERF-ASM.prt   217 2.87e+10  280.82s  4m40.82  102.2
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T430  CP m,m (10d)           : 31   154.0   183.9   162.01  9.46%   73.46  23.08
T431  CP m,m (30d)           : 31   152.5   186.2   162.71  7.54%   73.77  23.18
T440  ZAP m,m (10d,10d)      : 31    93.3   111.6    98.32  8.84%   44.58  14.01
T441  ZAP m,m (30d,30d)      : 31    93.3   112.5    99.02  8.70%   44.89  14.10
T442  ZAP m,m (10d,30d)      : 31    93.6   111.0    99.58  8.70%   45.15  14.19
T443  ZAP m,m (30d,10d)      : 31    93.3   110.2    97.95  9.23%   44.41  13.95
T445  SRP m,i,i (30d,<<)     : 31   113.7   134.7   118.45  5.27%   53.70  16.87
T446  SRP m,i,i (30d,>>)     : 31   177.6   210.7   185.49  8.86%   84.10  26.42
T450  MVO m,m (10d)          : 31    46.4    55.6    49.52  9.65%   22.45   7.05
T451  MVO m,m (30d)          : 31   121.9   146.9   128.76  8.56%   58.38  18.34
T500  LER R,R                : 31     5.0     5.9     5.16  8.08%    2.34   0.74
T501  LE R,m                 : 31     7.9     9.7     8.15  9.10%    3.69   1.16
T502  LE R,m (unal)          : 31     8.4     9.8     8.58  9.70%    3.89   1.22
T503  LTER R,R               : 31     4.6     5.5     4.72  9.62%    2.14   0.67
T504  LCER R,R               : 31     4.5     5.3     4.67  8.53%    2.12   0.67
T505  LNER R,R               : 31     4.7     5.7     4.81  9.07%    2.18   0.68
T506  LPER R,R               : 31     4.7     5.6     4.85  8.01%    2.20   0.69
T507  LRER R,R               : 31     5.5     6.5     5.72  8.67%    2.59   0.82
T508  STE R,m                : 31     7.9     9.3     8.08  9.83%    3.66   1.15
T509  STE R,m (unal)         : 31     8.2     9.8     8.26  8.48%    3.75   1.18
T510  AER R,R                : 31    13.2    15.8    13.51  8.99%    6.12   1.92
T511  AE R,m                 : 31    17.0    20.3    17.34  8.97%    7.86   2.47
T512  SER R,R                : 31    13.3    15.7    13.78  8.39%    6.25   1.96
T513  SE R,m                 : 31    17.7    22.7    19.05  9.83%    8.64   2.71
T514  MER R,R                : 31     9.8    17.6    10.22  5.39%    4.63   1.46
T515  ME R,m                 : 31    14.0    16.8    14.44  8.80%    6.55   2.06
T516  DER R,R                : 31    21.6    25.7    22.31  8.60%   10.12   3.18
T517  DE R,m                 : 31    24.1    28.6    25.08  9.09%   11.37   3.57
T520  CER R,R                : 31    10.1    11.9    10.46  9.54%    4.74   1.49
T521  CE R,m                 : 31    14.4    16.8    14.96  9.83%    6.78   2.13
T522  AUR R,R                : 31     9.2    10.9     9.38  8.39%    4.25   1.34
T523  HER R,R                : 31     5.5     6.5     5.49  8.39%    2.49   0.78
T530  LDR R,R                : 31     4.8     5.7     4.99  8.70%    2.26   0.71
T531  LD R,m                 : 31     8.5    10.0     8.90  7.63%    4.04   1.27
T532  LD R,m (unal)          : 31     8.5    10.0     8.77  8.37%    3.98   1.25
T533  LTDR R,R               : 31     4.8     5.6     4.92  8.57%    2.23   0.70
T534  LCDR R,R               : 31     4.9     5.8     5.05  8.37%    2.29   0.72
T535  LNDR R,R               : 31     4.8     5.6     4.95  8.18%    2.24   0.70
T536  LPDR R,R               : 31     4.8     5.7     5.03  7.59%    2.28   0.72
T537  LRDR R,R               : 31     6.3     7.5     6.59  8.11%    2.99   0.94
T538  STD R,m                : 31     8.5    10.2     8.77  8.54%    3.98   1.25
T539  STD R,m (unal)         : 31     8.7    10.3     8.97  7.92%    4.07   1.28
T540  ADR R,R                : 31    14.0    16.5    14.58  8.59%    6.61   2.08
T541  AD R,m                 : 31    18.3    21.8    18.97  8.38%    8.60   2.70
T542  SDR R,R                : 31    14.0    16.5    14.48  5.66%    6.56   2.06
T543  SD R,m                 : 31    18.2    21.7    18.72  5.99%    8.49   2.67
T544  MDR R,R                : 31    15.0    17.3    15.35  7.13%    6.96   2.19
T545  MD R,m                 : 31    19.7    23.1    20.32  6.92%    9.22   2.90
T546  DDR R,R                : 31   166.5   195.3   174.16  7.22%   78.96  24.81
T547  DD R,m                 : 31   169.2   197.5   176.72  5.33%   80.12  25.17
T550  CDR R,R                : 31    11.3    13.1    11.64  5.73%    5.28   1.66
T551  CD R,m                 : 31    15.7    18.6    16.24  7.60%    7.36   2.31
T552  AWR R,R                : 31    10.8    12.6    10.98  9.61%    4.98   1.56
T553  HDR R,R                : 31     6.5     7.8     6.51 10.49%    2.95   0.93
T560  AXR R,R                : 31    23.9    28.4    25.34  8.36%   11.49   3.61
T561  MXR R,R                : 31    28.8    34.0    29.62  9.82%   13.43   4.22
T600  STCK m                 : 31    67.0    79.6    69.54 11.27%   31.53   9.91
T601  SPM R                  : 31     2.7     3.2     2.80  9.76%    1.27   0.40
T610  EX R,i (with TM)       : 31    27.3    32.5    28.51 10.55%   12.93   4.06
T611  EX R,i (with XI)       : 31    29.6    34.9    30.97 10.11%   14.04   4.41
T620  MVI;TS m (zero)        : 31    40.8    48.5    42.77  9.84%   19.39   6.09
T621  MVI;TS m (ones)        : 31   306.1   366.9   321.76 11.98%  145.89  45.83
T700  mix int RR basic       : 31     3.2     3.8     3.17  9.37%    1.44   0.45
T701  mix int RX             : 31     9.5    11.4     9.57  8.17%    4.34   1.36
T702  mix int RX (far)       : 31     9.5    11.3     9.53  8.27%    4.32   1.36
T703  mix int RR noopt       : 31     3.3     3.9     3.23  7.71%    1.46   0.46
T900  LR R,R (ig=1)          : 31     8.6    10.3     2.02  8.51%    0.91   0.29
T901  LR R,R (ig=2)          : 31     5.2     6.2     2.01  9.08%    0.91   0.29
T902  LR R,R (ig=3)          : 31     4.1     4.9     2.06  9.33%    0.94   0.29
T903  LR R,R (ig=4)          : 31     3.6     4.2     2.03  9.96%    0.92   0.29
T904  LR R,R (ig=5)          : 31     3.2     3.9     2.14 10.41%    0.97   0.30
T905  LR R,R (ig=6)          : 31     3.0     3.7     2.03  9.88%    0.92   0.29
T906  LR R,R (ig=7)          : 31     2.9     3.4     2.01  9.00%    0.91   0.29
T907  LR R,R (ig=8)          : 31     2.7     3.3     2.02  9.46%    0.92   0.29
T908  LR R,R (ig=9)          : 31     2.7     3.2     2.01  7.89%    0.91   0.29
T909  LR R,R (ig=10)         : 31     2.6     3.2     1.99  8.03%    0.90   0.28
T910  LR R,R (ig=12)         : 31     2.6     3.1     2.09  8.18%    0.95   0.30
T911  LR R,R (ig=18)         : 31     2.8     3.3     2.53  8.16%    1.15   0.36
T912  LR R,R (ig=25)         : 31     2.6     3.0     2.40  6.98%    1.09   0.34
T913  LR R,R (ig=36)         : 31     2.4     2.8     2.27  6.19%    1.03   0.32
T914  LR R,R (ig=50)         : 31     2.2     2.7     2.18  7.19%    0.99   0.31
T915  LR R,R (ig=72)         : 31     2.2     2.6     2.10  6.04%    0.95   0.30
T920  L R,m (ig=1)           : 31    11.3    13.3     4.69  5.28%    2.13   0.67
T921  L R,m (ig=2)           : 31     8.8    10.6     5.60  6.49%    2.54   0.80
T922  L R,m (ig=3)           : 31     8.0     9.5     6.04  6.21%    2.74   0.86
T923  L R,m (ig=4)           : 31     7.6     9.1     6.22  7.23%    2.82   0.89
T924  L R,m (ig=5)           : 31     7.4     8.8     6.30  8.15%    2.86   0.90
T925  L R,m (ig=6)           : 31     7.3     8.8     6.36  9.34%    2.88   0.91
T926  L R,m (ig=7)           : 31     7.4     8.8     6.81  9.01%    3.09   0.97
T927  L R,m (ig=8)           : 31     8.0     9.5     7.47  7.96%    3.39   1.06
T928  L R,m (ig=9)           : 31     7.9     9.3     7.46  8.18%    3.38   1.06
T929  L R,m (ig=10)          : 31     7.7     9.2     7.37  7.37%    3.34   1.05
T930  L R,m (ig=12)          : 31     7.5     8.9     7.23  9.61%    3.28   1.03
T931  L R,m (ig=18)          : 31     7.1     8.4     7.09  8.57%    3.22   1.01
T932  L R,m (ig=25)          : 31     6.9     8.3     7.02 11.25%    3.18   1.00
T933  L R,m (ig=36)          : 31     6.8     8.1     6.81  5.80%    3.09   0.97
T952  T700 1st  2            : 31    11.0    13.2     4.46  6.52%    2.02   0.64
T953  T700 1st  3            : 31    14.3    16.9     8.05  7.98%    3.65   1.15
T954  T700 1st  4            : 31    17.7    21.3    11.49  7.14%    5.21   1.64
T955  T700 1st  5            : 31    21.0    24.5    14.84  7.27%    6.73   2.11
T956  T700 1st  6            : 31    24.2    29.5    17.75  7.02%    8.05   2.53
T957  T700 1st  7            : 31    27.0    32.9    20.94  6.64%    9.50   2.98
T958  T700 1st  8            : 31    29.8    35.0    24.17  7.41%   10.96   3.44
T959  T700 1st  9            : 31    33.6    39.2    28.26 10.88%   12.81   4.03
T960  T700 1st 10            : 31    36.7    43.8    31.71 10.87%   14.38   4.52
T961  T700 1st 11            : 31    39.4    47.2    34.08 10.10%   15.45   4.86
T962  T700 1st 12            : 31    42.0    48.7    36.09 11.78%   16.36   5.14
T963  T700 1st 13            : 31    44.4    52.9    39.68  8.52%   17.99   5.65
T964  T700 1st 14            : 31    47.1    55.3    42.41 10.16%   19.23   6.04
T965  T700 1st 15            : 31    50.8    61.0    46.24  7.93%   20.97   6.59
T966  T700 1st 16            : 31    53.9    63.8    49.63  9.79%   22.50   7.07
T967  T700 1st 17            : 31    57.0    67.5    53.00  8.36%   24.03   7.55
T968  T700 1st 18            : 31    60.3    72.1    55.43  9.75%   25.13   7.90
T969  T700 1st 19            : 31    63.9    75.1    59.60  7.74%   27.02   8.49
T970  T700 1st 20            : 31    66.8    78.8    62.82 10.78%   28.48   8.95
T971  T700 1st 21            : 31    69.5    81.9    65.58 12.25%   29.73   9.34
T972  T700 1st 22            : 31    72.0    84.8    68.50 11.55%   31.06   9.76
T973  T700 1st 23            : 31    74.0    87.7    70.90 10.49%   32.15  10.10
T974  T700 1st 24            : 31    76.5    89.4    74.17 11.17%   33.63  10.56
T975  T700 1st 25            : 31    79.7    93.2    76.21 10.58%   34.55  10.86
T976  T700 1st 26            : 31    82.5    98.2    79.00  9.95%   35.82  11.25
T977  T700 1st 27            : 31    85.8    99.7    82.90  9.83%   37.58  11.81
T978  T700 1st 28            : 31    88.7   104.9    86.22 11.59%   39.09  12.28
T979  T700 1st 29            : 31    91.8   109.1    89.26 10.36%   40.47  12.71
T980  T700 1st 30            : 31    96.5   117.0    95.49 11.51%   43.30  13.60
T981  T700 1st 31            : 31    99.5   117.2    97.57  8.34%   44.24  13.90
T982  T700 1st 32            : 31   103.4   121.6   102.14  9.33%   46.31  14.55
T983  T700 1st 33            : 31   106.2   126.2   104.54  9.03%   47.40  14.89
T984  T700 1st 34            : 31   109.4   128.9   108.02  8.30%   48.97  15.39
T985  T700 1st 35            : 31   112.2   132.6   111.33  7.56%   50.48  15.86
T986  T700 1st 36            : 31   115.3   135.4   113.98  7.53%   51.68  16.24
T987  T700 1st 37            : 31   118.3   141.3   117.27  7.90%   53.17  16.71
T988  T700 1st 38            : 31   122.1   143.2   121.31  7.16%   55.00  17.28
T989  T700 1st 39            : 31   125.2   148.7   124.41  9.45%   56.41  17.72
T990  T700 1st 40            : 31   128.4   152.8   127.59  7.76%   57.85  18.18
D170  MVCL (10b)             : 31       -       -    23.02 12.73%   10.44   3.28
D171  MVCL (100b)            : 31       -       -    30.15 10.24%   13.67   4.29
D172  MVCL (250b)            : 31       -       -    37.98 11.03%   17.22   5.41
D173  MVCL (1kb)             : 31       -       -    94.58  8.86%   42.88  13.47
D174  MVCL (4kb)             : 31       -       -   311.27  6.50%  141.13  44.34
D175  MVCL (100b,pad)        : 31       -       -    18.29 10.78%    8.29   2.60
D176  MVCL (1kb,pad)         : 31       -       -    36.13  9.02%   16.38   5.15
D177  MVCL (4kb,pad)         : 31       -       -   104.73  9.43%   47.48  14.92
D178  MVCL (1kb,over1)       : 31       -       -     9.85 19.64%    4.47   1.40
D179  MVCL (1kb,over2)       : 31       -       -    98.90  8.56%   44.84  14.09
D215  DR R,R                 : 31       -       -    15.58 12.40%    7.07   2.22
D216  D R,m                  : 31       -       -    19.84  9.27%    8.99   2.83
D280  CLCL (100b,10b)        : 31       -       -    97.32 13.56%   44.12  13.86
D281  CLCL (4kb,10b)         : 31       -       -    98.61 12.95%   44.71  14.05
D282  CLCL (4kb,100b)        : 31       -       -   860.64 10.22%  390.22 122.60
D283  CLCL (4kb,250b)        : 31       -       -  2103.03  8.73%  953.52 299.57
D290  CS R,R,m (eq,eq)       : 31       -       -    38.83 10.29%   17.61   5.53
D291  CS R,R,m (eq,ne)       : 31       -       -    38.75 11.32%   17.57   5.52
D292  CS R,R,m (ne)          : 31       -       -   312.93  9.30%  141.88  44.58
D295  CDS R,R,m (eq,eq)      : 31       -       -    40.10 11.17%   18.18   5.71
D296  CDS R,R,m (eq,ne)      : 31       -       -    40.16 11.66%   18.21   5.72
D297  CDS R,R,m (ne)         : 31       -       -   319.25 11.92%  144.75  45.48
D320  BALR R,R               : 31       -       -     8.31 18.57%    3.77   1.18
D321  BALR R,R (far)         : 31       -       -    17.69 16.79%    8.02   2.52
D322  BAL R,R                : 31       -       -     9.73 14.70%    4.41   1.39
D323  BAL R,R (far)          : 31       -       -    19.59 13.37%    8.88   2.79
D324  BASR R,R               : 31       -       -     8.14 18.55%    3.69   1.16
D325  BAS R,R                : 31       -       -     9.61 12.55%    4.36   1.37
D410  ED (10c)               : 31       -       -   125.88 11.29%   57.07  17.93
D411  ED (30c)               : 31       -       -   380.98 12.52%  172.73  54.27
D415  EDMK (10c)             : 31       -       -   127.90 12.48%   57.99  18.22
D426  DP m,m (10d)           : 31       -       -   453.64 10.01%  205.68  64.62
D427  DP m,m (30d)           : 31       -       -  1088.78 10.78%  493.65 155.09
D610  EX R,i (bare, via TM)  : 31       -       -    20.54 15.07%    9.31   2.93
D611  EX R,i (bare, via XI)  : 31       -       -    22.07 14.58%   10.01   3.14
D620  TS m (zero)            : 31       -       -    35.55 11.92%   16.12   5.06
D621  TS m (ones)            : 31       -       -   314.54 12.25%  142.61  44.81
