file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-04-29-07:57:47_J0161_PERF-ASM.prt   224 2.96e+10  283.67s  4m43.67  104.4
2018-04-29-08:02:39_J0162_PERF-ASM.prt   221 2.92e+10  288.31s  4m48.31  101.4
2018-04-29-08:07:21_J0163_PERF-ASM.prt   204 2.70e+10  276.96s  4m36.96   97.4
2018-04-29-08:11:52_J0164_PERF-ASM.prt   212 2.80e+10  267.78s  4m27.78  104.7
2018-04-29-08:16:50_J0165_PERF-ASM.prt   223 2.95e+10  293.73s  4m53.73  100.4
2018-04-29-08:21:09_J0166_PERF-ASM.prt   195 2.58e+10  254.69s  4m14.69  101.3
2018-04-29-08:26:01_J0167_PERF-ASM.prt   218 2.88e+10  287.84s  4m47.84  100.2
2018-04-29-08:30:45_J0168_PERF-ASM.prt   221 2.92e+10  279.95s  4m39.95  104.4
2018-04-29-08:35:27_J0169_PERF-ASM.prt   216 2.86e+10  278.57s  4m38.57  102.5
2018-04-29-08:39:49_J0170_PERF-ASM.prt   201 2.66e+10  257.41s  4m17.41  103.3
2018-04-29-08:45:07_J0171_PERF-ASM.prt   227 3.00e+10  314.54s  5m14.54   95.4
2018-04-29-08:49:55_J0172_PERF-ASM.prt   211 2.79e+10  283.17s  4m43.17   98.5
2018-04-29-08:54:28_J0173_PERF-ASM.prt   211 2.79e+10  269.72s  4m29.72  103.5
2018-04-29-08:59:45_J0174_PERF-ASM.prt   228 3.02e+10  312.87s  5m12.87   96.4
2018-04-29-09:04:29_J0175_PERF-ASM.prt   214 2.83e+10  279.71s  4m39.71  101.2
2018-04-29-09:08:54_J0176_PERF-ASM.prt   203 2.68e+10  260.20s  4m20.20  103.2
2018-04-29-09:13:48_J0177_PERF-ASM.prt   227 3.00e+10  290.16s  4m50.16  103.5
2018-04-29-09:18:54_J0178_PERF-ASM.prt   230 3.04e+10  302.07s  5m02.07  100.7
2018-04-29-09:23:22_J0179_PERF-ASM.prt   198 2.62e+10  263.97s  4m23.97   99.2
2018-04-29-09:27:42_J0180_PERF-ASM.prt   197 2.61e+10  256.04s  4m16.04  101.8
2018-04-29-09:32:36_J0181_PERF-ASM.prt   222 2.94e+10  290.26s  4m50.26  101.1
2018-04-29-09:37:32_J0182_PERF-ASM.prt   210 2.78e+10  291.20s  4m51.20   95.4
2018-04-29-09:42:18_J0183_PERF-ASM.prt   206 2.72e+10  281.66s  4m41.66   96.7
2018-04-29-09:47:13_J0184_PERF-ASM.prt   219 2.90e+10  290.79s  4m50.79   99.6
2018-04-29-09:51:53_J0185_PERF-ASM.prt   201 2.66e+10  275.89s  4m35.89   96.4
2018-04-29-09:56:06_J0186_PERF-ASM.prt   195 2.58e+10  249.32s  4m09.32  103.4
2018-04-29-10:00:58_J0187_PERF-ASM.prt   226 2.99e+10  287.53s  4m47.53  103.9
2018-04-29-10:05:56_J0188_PERF-ASM.prt   228 3.02e+10  294.37s  4m54.37  102.4
2018-04-29-10:10:27_J0189_PERF-ASM.prt   194 2.57e+10  266.32s  4m26.32   96.3
2018-04-29-10:15:10_J0190_PERF-ASM.prt   202 2.67e+10  278.80s  4m38.80   95.8
2018-04-29-10:19:54_J0191_PERF-ASM.prt   217 2.87e+10  280.82s  4m40.82  102.2
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T169  MVCIN m,m (100c)       : 31   620.2   729.6   633.96  9.09%  287.44  90.31
T170  4*Lx;MVCL (10b)        : 31    32.7    38.3    33.51  8.51%   15.20   4.77
T171  4*Lx;MVCL (100b)       : 31    39.0    45.4    40.64  7.41%   18.43   5.79
T172  4*Lx;MVCL (250b)       : 31    46.6    54.3    48.48  8.53%   21.98   6.91
T173  4*Lx;MVCL (1kb)        : 31    99.1   118.0   105.08  7.94%   47.64  14.97
T174  4*LR;MVCL (4kb)        : 31   303.5   357.0   320.09  6.31%  145.13  45.60
T175  4*Lx;MVCL (100b,pad)   : 31    28.1    32.9    28.78  6.43%   13.05   4.10
T176  4*Lx;MVCL (1kb,pad)    : 31    45.2    53.1    46.62  6.84%   21.14   6.64
T177  4*Lx;MVCL (4kb,pad)    : 31   109.5   130.9   114.39  8.62%   51.86  16.29
T178  4*LA;MVCL (1kb,over1)  : 31    21.7    25.5    22.02  7.07%    9.98   3.14
T179  4*LA;MVCL (1kb,over2)  : 31   106.5   124.7   111.07  7.55%   50.36  15.82
T190  IC R,m                 : 31     7.9     9.6     8.25  7.97%    3.74   1.18
T191  ICM R,i,m (0010)       : 31    15.9    19.6    16.52  8.69%    7.49   2.35
T192  ICM R,i,m (1100)       : 31    16.5    19.9    17.19  7.32%    7.79   2.45
T193  ICM R,i,m (0111)       : 31    13.0    15.4    13.18  4.86%    5.98   1.88
T200  AR R,R                 : 31     3.1     3.7     3.13  8.29%    1.42   0.45
T201  A R,m                  : 31     8.4     9.8     8.63  8.66%    3.91   1.23
T202  AH R,m                 : 31     8.8    10.4     9.12  8.64%    4.13   1.30
T203  ALR R,R                : 31     2.7     3.2     2.79  6.65%    1.26   0.40
T204  AL R,m                 : 31     9.3    11.3     9.61  9.27%    4.36   1.37
T205  SR R,R                 : 31     3.5     4.2     3.58  6.42%    1.62   0.51
T206  S R,m                  : 31     8.5    10.2     8.78  9.66%    3.98   1.25
T207  SH R,m                 : 31     9.0    10.8     9.34  9.58%    4.23   1.33
T208  SLR R,R                : 31     2.8     3.3     2.84 11.00%    1.29   0.40
T209  SL R,m                 : 31     9.3    11.0     9.65 11.55%    4.38   1.37
T210  MR R,R                 : 31     4.7     5.7     4.62 11.17%    2.10   0.66
T211  M R,m                  : 31     8.9    10.8     9.09 10.93%    4.12   1.29
T212  MH R,m                 : 31     8.6    10.3     8.85  9.33%    4.01   1.26
T215  XR R,R; DR R,R         : 31    18.3    21.5    18.64 10.21%    8.45   2.66
T216  XR R,R; D R,m          : 31    22.4    26.9    22.90  7.90%   10.38   3.26
T220  SLA R,1                : 31     5.9     7.0     5.80  7.77%    2.63   0.83
T221  SLDA R,1               : 31     6.5     7.8     6.65  7.09%    3.01   0.95
T222  SRA R,1                : 31     4.5     5.6     4.37  9.30%    1.98   0.62
T223  SRDA R,1               : 31     5.8     7.4     5.83 11.10%    2.64   0.83
T224  SRA R,30               : 31     4.5     6.1     4.34 10.61%    1.97   0.62
T225  SRDA R,60              : 31     5.8     7.3     5.88 10.25%    2.66   0.84
T230  XR R,R                 : 31     3.0     3.6     3.06 10.82%    1.39   0.44
T231  X R,m                  : 31     8.4    10.1     8.64  8.71%    3.92   1.23
T232  XI m,i                 : 31     8.6    10.4     8.91  8.18%    4.04   1.27
T235  XC m,m (10c)           : 31    21.3    25.1    22.03  8.39%    9.99   3.14
