Tag   Comment                : nt      lr  ig lt        raw   w50%    n-cp  e-cp%   mcc
T955  T700 1st  5            : 20  120000   1  1     687.97   0.4%   12.02     1%    12
T956  T700 1st  6            : 20  105000   1  1     750.49   0.1%   13.11    10%    13
T957  T700 1st  7            : 20   90000   1  1     866.42   0.5%   15.14    13%    15
T958  T700 1st  8            : 20   84000   1  1     979.13   0.5%   17.10    10%    17
T959  T700 1st  9            : 20   75000   1  1    1088.25   0.1%   19.01     1%    19
T960  T700 1st 10            : 20   70000   1  1    1154.99   0.4%   20.18    17%    20
T961  T700 1st 11            : 20   65000   1  1    1200.71   0.1%   20.97    -2%    21
T962  T700 1st 12            : 20   60000   1  1    1258.64   0.5%   21.99    -1%    22
T963  T700 1st 13            : 20   55000   1  1    1430.38   0.5%   24.99    -1%    25
T964  T700 1st 14            : 20   50000   1  1    1429.35   0.1%   24.97    -3%    25
T965  T700 1st 15            : 20   50000   1  1    1609.07   0.4%   28.11    10%    28
T966  T700 1st 16            : 20   45000   1  1    1666.77   0.1%   29.12    11%    29
T967  T700 1st 17            : 20   45000   1  1    1716.20   0.5%   29.98    -2%    30
T968  T700 1st 18            : 20   40000   1  1    1887.07   0.5%   32.96    -3%    33
T969  T700 1st 19            : 20   40000   1  1    2001.84   0.1%   34.97    -3%    35
T970  T700 1st 20            : 20   40000   1  1    2060.72   0.5%   36.00     0%    36
T971  T700 1st 21            : 20   35000   1  1    2063.38   0.1%   36.04     4%    36
T972  T700 1st 22            : 20   35000   1  1    2146.23   0.5%   37.49    49%    37
T973  T700 1st 23            : 20   35000   1  1    2173.69   0.5%   37.97    -2%    38
T974  T700 1st 24            : 20   30000   1  1    2231.26   0.1%   38.98    -2%    39
T975  T700 1st 25            : 20   30000   1  1    2346.86   0.5%   41.00     0%    41
T976  T700 1st 26            : 20   30000   1  1    2401.09   0.1%   41.94    -5%    42
T977  T700 1st 27            : 20   30000   1  1    2402.75   0.5%   41.97    -2%    42
T978  T700 1st 28            : 20   30000   1  1    2513.83   0.2%   43.91    -8%    44
T979  T700 1st 29            : 20   25000   1  1    2575.01   0.6%   44.98    -1%    45
T980  T700 1st 30            : 20   25000   1  1    2813.47   0.1%   49.15    14%    49
T981  T700 1st 31            : 20   25000   1  1    2860.16   0.5%   49.96    -3%    50
T982  T700 1st 32            : 20   25000   1  1    3002.65   0.5%   52.45    45%    52
T983  T700 1st 33            : 20   25000   1  1    3028.31   0.1%   52.90    -9%    53
T984  T700 1st 34            : 20   25000   1  1    3148.76   0.5%   55.00     0%    55
T985  T700 1st 35            : 20   25000   1  1    3215.50   0.1%   56.17    16%    56
T986  T700 1st 36            : 20   20000   1  1    3336.57   0.6%   58.28    28%    58
T987  T700 1st 37            : 20   20000   1  1    3488.51   0.1%   60.94    -6%    61
T988  T700 1st 38            : 20   20000   1  1    3603.51   0.5%   62.95    -5%    63
T989  T700 1st 39            : 20   20000   1  1    3662.92   0.6%   63.99    -1%    64
T990  T700 1st 40            : 20   20000   1  1    3661.55   0.1%   63.96    -3%    64
