s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-avr  w50-max
      01: 2018-04-02_rasp2b.dat                      330   0.69%    15.8%
      02: 2018-04-30_rasp2b-1cpu.dat                 330   0.78%    20.6%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T401  CVD R,m                :   6177.14   6167.10 :    0.998
T544  MDR R,R                :    238.65    238.27 :    0.998
T154  MVC m,m (100c)         :    496.71    495.92 :    0.998
T207  SH R,m                 :    154.58    154.34 :    0.998
T403  PACK m,m (15d)         :   1664.14   1661.57 :    0.998
T250  TM m,i                 :    123.34    123.15 :    0.998
T240  SLL R,1                :     58.73     58.64 :    0.998
T221  SLDA R,1               :     92.42     92.28 :    0.998
T538  STD R,m                :    153.26    153.03 :    0.998
T300  BCR 0,0 (noop)         :     33.46     33.41 :    0.999
T513  SE R,m                 :    235.42    235.08 :    0.999
T262  CH R,m                 :    146.61    146.40 :    0.999
T160  MVI m,i                :    115.72    115.56 :    0.999
T232  XI m,i                 :    130.54    130.36 :    0.999
T193  ICM R,i,m (0111)       :    139.49    139.30 :    0.999
T204  AL R,m                 :    147.49    147.29 :    0.999
T192  ICM R,i,m (1100)       :    303.05    302.64 :    0.999
T165  MVZ m,m (10c)          :    344.24    343.78 :    0.999
T260  CR R,R                 :     37.93     37.88 :    0.999
T106  LTR R,R                :     37.94     37.89 :    0.999
T507  LRER R,R               :     68.35     68.26 :    0.999
T121  STM 2,7,m (6r)         :    237.10    236.79 :    0.999
T430  CP m,m (10d)           :   1798.84   1796.52 :    0.999
T212  MH R,m                 :    147.89    147.70 :    0.999
T103  L R,m (unal)           :    138.10    137.93 :    0.999
T254  TR m,m (250c)          :   2447.09   2444.09 :    0.999
D320  BALR R,R               :     74.02     73.93 :    0.999
T266  CLM R,i,m              :    189.24    189.01 :    0.999
D283  CLCL (4kb,250b)        :  38736.76  38690.72 :    0.999
T115  STC R,m                :    126.46    126.31 :    0.999
T273  CLC m,m (30c,ne)       :    289.61    289.27 :    0.999
T117  STCM R,i,m (1100)      :    341.34    340.94 :    0.999
T169  MVCIN m,m (100c)       :  11440.12  11426.96 :    0.999
T120  STM 2,3,m (2r)         :    167.29    167.10 :    0.999
T552  AWR R,R                :    150.89    150.72 :    0.999
T168  MVCIN m,m (30c)        :   3520.51   3516.62 :    0.999
T532  LD R,m (unal)          :    154.37    154.20 :    0.999
T261  C R,m                  :    144.34    144.19 :    0.999
T540  ADR R,R                :    184.10    183.91 :    0.999
T239  OR R,R                 :     38.99     38.95 :    0.999
T535  LNDR R,R               :     59.33     59.27 :    0.999
T205  SR R,R                 :     49.80     49.75 :    0.999
T542  SDR R,R                :    185.20    185.02 :    0.999
T539  STD R,m (unal)         :    155.40    155.25 :    0.999
T303  BNZ l (do br, far)     :    239.23    239.00 :    0.999
T264  CL R,m                 :    135.37    135.24 :    0.999
T110  ST R,m                 :    125.95    125.83 :    0.999
T258  TRT m,m (250c,10b)     :   1555.65   1554.18 :    0.999
T263  CLR R,R                :     32.32     32.29 :    0.999
T504  LCER R,R               :     55.76     55.71 :    0.999
T402  PACK m,m (5d)          :    666.04    665.45 :    0.999
T225  SRDA R,60              :     79.07     79.00 :    0.999
T123  LM 2,3,m (2r)          :    159.25    159.11 :    0.999
T208  SLR R,R                :     35.67     35.64 :    0.999
T304  BR R                   :     48.34     48.30 :    0.999
T312  BCT R,l                :     76.91     76.85 :    0.999
T530  LDR R,R                :     51.55     51.51 :    0.999
T238  NR R,R                 :     38.98     38.95 :    0.999
T423  SP m,m (30d)           :   2969.72   2967.47 :    0.999
T537  LRDR R,R               :     86.74     86.68 :    0.999
T102  L R,m                  :    130.71    130.62 :    0.999
T220  SLA R,1                :     74.05     74.00 :    0.999
T534  LCDR R,R               :     61.09     61.05 :    0.999
T114  STH R,m (unal3)        :    141.64    141.55 :    0.999
T547  DD R,m                 :   7336.85   7332.33 :    0.999
T243  SRDL R,1               :     71.12     71.08 :    0.999
T501  LE R,m                 :    147.04    146.96 :    0.999
T536  LPDR R,R               :     59.94     59.91 :    0.999
T108  LNR R,R                :     40.18     40.16 :    1.000
T510  AER R,R                :    143.44    143.37 :    1.000
T502  LE R,m (unal)          :    146.26    146.19 :    1.000
T200  AR R,R                 :     44.13     44.11 :    1.000
T560  AXR R,R                :    358.18    358.02 :    1.000
T104  LH R,m                 :    141.93    141.87 :    1.000
T425  MP m,m (30d)           :   3258.54   3257.18 :    1.000
T546  DDR R,R                :   7254.83   7251.90 :    1.000
T166  MVZ m,m (30c)          :    526.48    526.27 :    1.000
T255  TRT m,m (10c,zero)     :   1404.78   1404.24 :    1.000
T503  LTER R,R               :     54.60     54.58 :    1.000
T522  AUR R,R                :    112.71    112.67 :    1.000
T512  SER R,R                :    142.09    142.04 :    1.000
T105  LH R,m (unal3)         :    145.87    145.82 :    1.000
T424  MP m,m (10d)           :   3220.94   3219.84 :    1.000
D174  MVCL (4kb)             :   9936.21   9932.91 :    1.000
D415  EDMK (10c)             :   2524.84   2524.12 :    1.000
T265  CLI m,i                :    125.93    125.90 :    1.000
T311  BCTR R,R               :     56.72     56.71 :    1.000
T551  CD R,m                 :    241.81    241.77 :    1.000
T222  SRA R,1                :     61.20     61.19 :    1.000
T315  BXLE R,R,l             :     75.36     75.36 :    1.000
T550  CDR R,R                :    147.81    147.81 :    1.000
D322  BAL R,R                :     96.15     96.17 :    1.000
T257  TRT m,m (250c,zero)    :  33090.01  33102.67 :    1.000
T113  STH R,m (unal1)        :    139.25    139.31 :    1.000
T156  MVC m,m (250c,over1)   :   1140.12   1140.70 :    1.001
T112  STH R,m                :    136.99    137.06 :    1.001
T116  STCM R,i,m (0010)      :    323.62    323.79 :    1.001
T259  TRT m,m (250c,100b)    :  13437.77  13447.27 :    1.001
D321  BALR R,R (far)         :    301.08    301.34 :    1.001
T543  SD R,m                 :    283.95    284.23 :    1.001
T101  LA R,n                 :     49.67     49.72 :    1.001
T125  LM 0,11,m (12r)        :    264.30    264.62 :    1.001
D325  BAS R,R                :     82.32     82.42 :    1.001
T122  STM 14,12,m (15r)      :    356.55    357.00 :    1.001
T256  TRT m,m (100c,zero)    :  13284.18  13300.98 :    1.001
T541  AD R,m                 :    281.78    282.15 :    1.001
D323  BAL R,R (far)          :    325.75    326.19 :    1.001
T155  MVC m,m (250c)         :    899.11    900.43 :    1.001
T111  ST R,m (unal)          :    137.97    138.26 :    1.002
T150  MVC m,m (5c)           :    298.70    299.38 :    1.002
T100  LR R,R                 :     28.92     29.01 :    1.003
T157  MVC m,m (250c,over2)   :    864.13    868.38 :    1.005
D172  MVCL (250b)            :   1041.28   1049.38 :    1.008
D176  MVCL (1kb,pad)         :    707.16    715.16 :    1.011
D410  ED (10c)               :   2471.78   2507.28 :    1.014
T152  MVC m,m (15c)          :    330.95    339.49 :    1.026
T151  MVC m,m (10c)          :    313.56    323.82 :    1.033
D177  MVCL (4kb,pad)         :   2293.66   2605.77 :    1.136
