s370_perf_sum  -rat  -k r2  -fmis 1

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-16_p390.dat                        326   0.28%     6.7%
      02: 2018-02-14_p390.dat                        231   0.14%    18.0%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T402  PACK m,m (5d)          :   1066.14   1066.08 :    1.000
T544  MDR R,R                :    909.74    909.69 :    1.000
T521  CE R,m                 :    398.10    398.08 :    1.000
T161  MVN m,m (10c)          :   1070.35   1070.30 :    1.000
T112  STH R,m                :    219.66    219.65 :    1.000
T282  4*LR;CLCL (4kb,100b)   :   4291.79   4291.60 :    1.000
T505  LNER R,R               :    227.09    227.08 :    1.000
T534  LCDR R,R               :    227.09    227.08 :    1.000
T105  LH R,m (unal3)         :    232.89    232.88 :    1.000
T514  MER R,R                :    738.79    738.76 :    1.000
T297  LR;CDS R,R,m (ne)      :    522.39    522.37 :    1.000
T292  LR;CS R,R,m (ne)       :    523.06    523.04 :    1.000
T170  4*Lx;MVCL (10b)        :   1098.08   1098.04 :    1.000
T166  MVZ m,m (30c)          :   1995.63   1995.56 :    1.000
D282  CLCL (4kb,100b)        :   4063.11   4062.99 :    1.000
T236  XC m,m (100c)          :   4089.88   4089.76 :    1.000
T243  SRDL R,1               :    343.11    343.10 :    1.000
T216  XR R,R; D R,m          :    689.58    689.56 :    1.000
T273  CLC m,m (30c,ne)       :    350.11    350.10 :    1.000
T225  SRDA R,60              :    457.28    457.27 :    1.000
T253  TR m,m (100c)          :  15270.71  15270.38 :    1.000
T212  MH R,m                 :    463.19    463.18 :    1.000
T610  EX R,i (with TM)       :    463.19    463.18 :    1.000
T254  TR m,m (250c)          :  36946.12  36945.38 :    1.000
T545  MD R,m                 :   1024.48   1024.46 :    1.000
T403  PACK m,m (15d)         :   2589.43   2589.38 :    1.000
T157  MVC m,m (250c,over2)   :   4012.64   4012.57 :    1.000
T621  MVI;TS m (ones)        :    585.44    585.43 :    1.000
D292  CS R,R,m (ne)          :    465.89    465.89 :    1.000
D297  CDS R,R,m (ne)         :    465.22    465.22 :    1.000
T117  STCM R,i,m (1100)      :    241.25    241.25 :    1.000
